order_id,customer_id,order_date,order_value_usd,origin_city,destination_city,priority_level,payment_method
1,2687,2025-01-11,555.97,London,Toronto,Standard,Corporate Billing
2,4127,2023-08-21,4482.34,Berlin,Singapore,Overnight,Wire
3,3613,2023-02-25,269.67,Sydney,New York,Overnight,UPI
4,2093,2024-05-05,4065.22,Singapore,Toronto,Overnight,Wire
5,1734,2024-04-06,3566.59,Singapore,Mumbai,Express,Card
6,677,2023-03-01,10779.99,Singapore,Dubai,Express,Card
7,1879,2023-06-11,14554.57,Singapore,Dubai,Standard,UPI
8,982,2025-05-15,8548.19,Sydney,Singapore,Overnight,UPI
9,1456,2025-03-14,2225.0,New York,Dubai,Express,Corporate Billing
10,1055,2023-04-17,731.83,Mumbai,London,Express,UPI
11,3071,2024-10-25,14913.84,London,Sydney,Express,Wire
12,2885,2025-04-25,4035.34,New York,Toronto,Express,Wire
13,1131,2023-12-05,11972.66,Dubai,Singapore,Standard,Card
14,992,2024-11-05,11835.95,Mumbai,Berlin,Overnight,Card
15,82,2023-12-15,14763.3,New York,Toronto,Express,UPI
16,4439,2025-06-18,6923.59,Toronto,Singapore,Overnight,Corporate Billing
17,4931,2023-04-24,8484.26,Singapore,Mumbai,Standard,Wire
18,2655,2024-02-18,7664.98,Toronto,Berlin,Express,Card
19,4712,2024-07-18,12050.92,Sydney,Toronto,Standard,Wire
20,1647,2024-01-19,13784.36,Mumbai,Berlin,Express,UPI
21,3652,2024-10-18,2355.09,Sydney,Dubai,Overnight,Corporate Billing
22,580,2025-03-24,6294.55,Sydney,New York,Overnight,Card
23,4738,2024-03-15,6771.1,New York,Berlin,Express,Corporate Billing
24,1261,2023-08-09,8098.66,Mumbai,Mumbai,Overnight,Wire
25,4880,2024-10-04,3425.98,London,Singapore,Standard,Corporate Billing
26,4587,2024-06-29,1766.55,Berlin,Mumbai,Express,UPI
27,4681,2025-02-15,11419.91,Sydney,Singapore,Express,Wire
28,1202,2025-04-05,894.27,New York,London,Overnight,UPI
29,2659,2023-01-16,6128.17,Singapore,Dubai,Standard,Card
30,2238,2023-02-12,14716.77,Toronto,New York,Overnight,Wire
31,2364,2024-12-26,1678.42,New York,Dubai,Standard,Card
32,494,2024-05-07,4151.08,Mumbai,Singapore,Express,Wire
